Territory		Grenst aan
westeinde		=	[industrieterrein_west (IW), valeriuskwartier]
valeriuskwartier	=	[westeinde, industrieterrein_west, vogelwijk]
industrieterrein-west	=	[westeinde, valeriuskwartier, vossenparkwijk, huizum-west, nijlân]
vogelwijk		=	[valeriuskwartier, vossenparkwijk, transvaalwijk]
vossenparkwijk		=	[vogelwijk, industrieterrein_west, huizum-west, binnenstad]
huizum_west		=	[nijlân, industrieterrein-west, vossenparkwijk, binnenstad, oranjewijk, achter_de_hoven, huizum_oost, aldlân]
nijlân			=	[industrieterrein_west, huizum_west, aldlân]
bilgaard		=	[valeriuskwartier, transvaalwijk, vrijheidswijk, havankpark]
transvaalwijk		=	[vogelwijk, bilgaard, bloemenbuurt, binnenstad]
binnenstad		=	[vossenparkwijk, transvaalwijk, bloemenbuurt, cambuur, oranjewijk, huizum_west]
havankpark		=	[bilgaard]
vrijheidswijk		=	[bilgaard, bloemenbuurt, heechterp, blitsaerd]
bloemenbuurt		=	[transvaalwijk, binnenstad, cambuur, heechterp, vrijheidswijk]
cambuur			=	[oranjewijk, binnenstad, bloemenbuurt, vrijheidswijk, heechterp, schieringen]
oranjewijk		=	[binnenstad, huizum_west, achter_de_hoven, schepenbuurt, cambuur]
achter_de_hoven		=	[oranjewijk, huizum_west, huizum_oost, schepenbuurt]
huizum_oost		=	[achter_de_hoven, huizum_west, aldlân, wielenpôlle]
aldlân			=	[nijlân, huizum_west, huizum_oost, wielenpôlle, de_hemrik, zuiderburen, goutum]
goutum			=	[aldlân, zuiderburen]
zuiderburen		=	[aldlân, goutum]
blitsaerd		=	[vrijheidswijk]
heechterp		=	[vrijheidswijk, bloemenbuurt, cambuur, schieringen, camminghaburen]
schieringen		=	[heechterp, cambuur, schepenbuurt, de_hemrik, camminghaburen]
schepenbuurt		=	[de_hemrik, schieringen, oranjewijk, achter_de_hoven, wielenpôlle]
wielenpôlle		=	[schepenbuurt, huizum_oost, aldlân, de_hemrik]
camminghaburen		=	[heechpterp, schieringen, de_hemrik]
de_hemrik		=	[aldlân, wielenpôlle, schepenbuurt, schieringen, camminghaburen]
